X,Y,predicted_label
15.390625,0.0234375,Density 50%
15.40625,0.03125,Density 70%
15.421875,0.03125,Density 70%
15.4375,0.03515625,Density 70%
15.453125,0.03125,Density 70%
15.46875,0.046875,Density 70%
15.484375,0.0390625,Density 70%
15.5,0.0390625,Density 70%
15.515625,0.0390625,Density 70%
15.53125,0.05078125,Density 70%
15.546875,0.03515625,Density 70%
15.5625,0.0390625,Density 70%
15.578125,0.03125,Density 70%
15.59375,0.03125,Density 70%
15.609375,0.03125,Density 70%
15.625,0.02734375,Density 70%
15.640625,0.01171875,Density 50%
15.65625,0.015625,Density 50%
15.671875,0.00390625,Density 30%
15.6875,0.00390625,Density 30%
15.703125,-0.00390625,Density 30%
15.71875,-0.0078125,Density 30%
15.734375,-0.015625,Density 30%
15.75,-0.01171875,Density 30%
15.765625,-0.0234375,Density 30%
15.78125,-0.015625,Density 30%
15.796875,-0.01953125,Density 30%
15.8125,-0.015625,Density 30%
15.828125,-0.015625,Density 30%
15.84375,-0.01953125,Density 30%
15.859375,-0.0078125,Density 30%
15.875,-0.0078125,Density 30%
15.890625,0.0,Density 30%
15.90625,0.0,Density 30%
15.921875,0.0,Density 30%
15.9375,-0.00390625,Density 30%
15.953125,0.00390625,Density 30%
15.96875,0.01171875,Density 50%
15.984375,0.015625,Density 50%
16.0,0.0234375,Density 50%
16.015625,0.02734375,Density 70%
16.03125,0.02734375,Density 70%
16.046875,0.03125,Density 70%
16.0625,0.03515625,Density 70%
16.078125,0.03515625,Density 70%
16.09375,0.0390625,Density 70%
16.109375,0.0390625,Density 70%
16.125,0.04296875,Density 70%
16.140625,0.04296875,Density 70%
16.15625,0.0390625,Density 70%
16.171875,0.03125,Density 70%
16.1875,0.03515625,Density 70%
16.203125,0.02734375,Density 70%
16.21875,0.0234375,Density 50%
16.234375,0.01171875,Density 50%
16.25,0.015625,Density 50%
16.265625,0.0078125,Density 30%
16.28125,0.0078125,Density 30%
16.296875,0.00390625,Density 30%
16.3125,0.00390625,Density 30%
16.328125,0.00390625,Density 30%
16.34375,0.01171875,Density 50%
16.359375,0.0,Density 30%
16.375,0.00390625,Density 30%
16.390625,0.0078125,Density 30%
16.40625,0.00390625,Density 30%
16.421875,-0.00390625,Density 30%
16.4375,-0.0078125,Density 30%
16.453125,-0.015625,Density 30%
16.46875,-0.01171875,Density 30%
16.484375,-0.02734375,Density 30%
16.5,-0.0234375,Density 30%
16.515625,-0.03125,Density 30%
16.53125,-0.0234375,Density 30%
16.546875,-0.02734375,Density 30%
16.5625,-0.0234375,Density 30%
16.578125,-0.015625,Density 30%
16.59375,-0.01171875,Density 30%
16.609375,-0.0078125,Density 30%
